Abuse of Authority,Frisk and/or search,Full Investigation,Unsubstantiated,Bronx,Bronx
Discourtesy,Word,Full Investigation,Unsubstantiated,Bronx,Bronx
Abuse of Authority,Question and/or stop,Full Investigation,Unsubstantiated,Bronx,Bronx
Force,Other,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Force,Physical force,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Force,Physical force,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Force,Punch/Kick,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Force,Physical force,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Property damaged,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Premises entered and/or searched,Full Investigation,Substantiated (Command Discipline),Brooklyn,Brooklyn North
OMN,False official statement,Full Investigation,Substantiated (Command Discipline),Brooklyn,Brooklyn North
Abuse of Authority,Premises entered and/or searched,Full Investigation,Substantiated (Command Discipline),Brooklyn,Brooklyn North
OMN,False official statement,Full Investigation,Substantiated (Command Discipline),Brooklyn,Brooklyn North
Abuse of Authority,Premises entered and/or searched,Full Investigation,Substantiated (Command Discipline),Brooklyn,Brooklyn North
Abuse of Authority,Threat to damage/seize property,Full Investigation,Substantiated (Command Discipline),Brooklyn,Brooklyn North
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Force,Physical force,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Abuse of Authority,Frisk and/or search,Other,Miscellaneous,Manhattan,Other
Discourtesy,Word,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Abuse of Authority,Threat of arrest,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Abuse of Authority,Gun pointed/gun drawn,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Offensive Language,Race,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Abuse of Authority,Property damaged,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Force,Physical force,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Force,Physical force,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Discourtesy,Demeanor/tone,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Offensive Language,Race,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Abuse of Authority,Gun pointed/gun drawn,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Abuse of Authority,Threat to notify ACS,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Abuse of Authority,Threat of arrest,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unsubstantiated,Bronx,Bronx
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unsubstantiated,Bronx,Bronx
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unsubstantiated,Bronx,Bronx
Discourtesy,Word,Full Investigation,Unfounded,Bronx,Bronx
Abuse of Authority,Threat of arrest,Full Investigation,Unfounded,Bronx,Bronx
Abuse of Authority,Vehicle search,Full Investigation,Unfounded,Bronx,Bronx
Discourtesy,Word,Full Investigation,Unfounded,Bronx,Bronx
Discourtesy,Word,Full Investigation,Exonerated,Manhattan,Manhattan North
Abuse of Authority,Vehicle stop,Full Investigation,Exonerated,Manhattan,Manhattan North
Abuse of Authority,Gun pointed/gun drawn,Full Investigation,Exonerated,Manhattan,Manhattan North
Abuse of Authority,Gun pointed/gun drawn,Full Investigation,Exonerated,Manhattan,Manhattan North
Force,Physical force,Full Investigation,Exonerated,Manhattan,Manhattan North
Force,Physical force,Full Investigation,Exonerated,Manhattan,Manhattan North
Discourtesy,Word,Other,Miscellaneous,Bronx,Bronx
Abuse of Authority,Question and/or stop,Other,IAB - Referral,Bronx,Bronx
Abuse of Authority,Person Searched,Other,IAB - Referral,Bronx,Bronx
Abuse of Authority,Question and/or stop,Other,IAB - Referral,Bronx,Bronx
Abuse of Authority,Seizure of property,Other,IAB - Referral,Bronx,Bronx
Abuse of Authority,Question and/or stop,Full Investigation,Exonerated,Manhattan,Manhattan North
Abuse of Authority,Question and/or stop,Full Investigation,Exonerated,Manhattan,Manhattan North
Abuse of Authority,Frisk and/or search,Full Investigation,Exonerated,Manhattan,Manhattan North
Discourtesy,Word,Full Investigation,Exonerated,Manhattan,Manhattan North
Abuse of Authority,Frisk and/or search,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Frisk and/or search,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Gun pointed,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Gun pointed,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Frisk and/or search,Full Investigation,Unsubstantiated,Queens,Queens South
Offensive Language,Race,Full Investigation,Unsubstantiated,Queens,Queens South
Abuse of Authority,Frisk and/or search,Full Investigation,Unsubstantiated,Queens,Queens South
Force,Other,Other,Miscellaneous,Manhattan,Manhattan South
Discourtesy,Word,Full Investigation,Unfounded,Manhattan,Manhattan North
Offensive Language,Ethnicity,Full Investigation,Unfounded,Manhattan,Manhattan North
Force,Physical force,Full Investigation,Unfounded,Manhattan,Manhattan North
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unfounded,Manhattan,Manhattan North
Discourtesy,Action,Full Investigation,Unfounded,Manhattan,Manhattan North
Force,Physical force,Full Investigation,Unfounded,Manhattan,Manhattan North
Abuse of Authority,Property Damaged,Full Investigation,Officer(s) Unidentified,Brooklyn,Brooklyn South
Abuse of Authority,Person Searched,Truncated,Complainant Uncooperative,Bronx,Bronx
Force,Other - Force,Truncated,Complainant Uncooperative,Bronx,Bronx
Discourtesy,Curse,Truncated,Complainant Uncooperative,Bronx,Bronx
Force,Other,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Force,Physical force,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Property damaged,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Force,Physical force,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Discourtesy,Other,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Force,Physical force,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Force,Pepper spray,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Force,Physical force,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Force,Physical force,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Threat of force (verbal or physical),Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Force,Physical force,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Refusal to provide name/shield number,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Discourtesy,Word,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Force,Gun Pointed,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Frisk and/or search,Other,Miscellaneous,Manhattan,Other
Abuse of Authority,Threat of summons,Other,Miscellaneous,Manhattan,Other
Abuse of Authority,Frisk and/or search,Other,Miscellaneous,Manhattan,Other
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Vehicle search,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Frisk and/or search,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Vehicle search,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Frisk and/or search,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Frisk and/or search,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Gun pointed,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Vehicle search,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Discourtesy,Word,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Abuse of Authority,Gun pointed,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Force,Physical force,Full Investigation,Unfounded,Manhattan,Manhattan North
Abuse of Authority,Threat of arrest,Full Investigation,Unfounded,Manhattan,Manhattan North
Abuse of Authority,Threat of force (verbal or physical),Full Investigation,Unfounded,Manhattan,Manhattan North
Offensive Language,Race,Full Investigation,Unfounded,Manhattan,Manhattan North
Discourtesy,Action,Full Investigation,Substantiated (Charges),Bronx,Bronx
Abuse of Authority,Frisk and/or search,Full Investigation,Substantiated (Charges),Bronx,Bronx
Abuse of Authority,Threat of arrest,Full Investigation,Substantiated (Charges),Bronx,Bronx
Abuse of Authority,Retaliatory arrest,Full Investigation,Substantiated (Charges),Bronx,Bronx
Force,Physical force,Full Investigation,Substantiated (Charges),Bronx,Bronx
Discourtesy,Word,Full Investigation,Substantiated (Charges),Bronx,Bronx
Force,Physical force,Full Investigation,Substantiated (Charges),Bronx,Bronx
Abuse of Authority,Strip-searched,Full Investigation,Exonerated,Manhattan,Manhattan North
Abuse of Authority,Gun pointed,Full Investigation,Exonerated,Queens,Queens South
Abuse of Authority,Gun pointed,Full Investigation,Exonerated,Queens,Queens South
Abuse of Authority,Gun pointed,Full Investigation,Exonerated,Queens,Queens South
Abuse of Authority,Premises entered and/or searched,Full Investigation,Exonerated,Queens,Queens South
Abuse of Authority,Premises entered and/or searched,Full Investigation,Exonerated,Queens,Queens South
Abuse of Authority,Gun pointed,Full Investigation,Exonerated,Queens,Queens South
Abuse of Authority,Premises entered and/or searched,Full Investigation,Exonerated,Queens,Queens South
Abuse of Authority,Premises entered and/or searched,Full Investigation,Exonerated,Queens,Queens South
Abuse of Authority,Gun pointed,Full Investigation,Exonerated,Queens,Queens South
Abuse of Authority,Premises entered and/or searched,Full Investigation,Exonerated,Queens,Queens South
Force,Physical force,Full Investigation,Exonerated,Queens,Queens South
Abuse of Authority,Premises entered and/or searched,Full Investigation,Exonerated,Queens,Queens South
Discourtesy,Word,Full Investigation,Officer(s) Unidentified,Brooklyn,Brooklyn North
Abuse of Authority,Gun pointed,Full Investigation,Unsubstantiated,Bronx,Bronx
Abuse of Authority,Refusal to provide name/shield number,Full Investigation,Officer(s) Unidentified,Brooklyn,Brooklyn North
Force,Physical force,Full Investigation,Officer(s) Unidentified,Brooklyn,Brooklyn North
Abuse of Authority,Question and/or stop,Full Investigation,Officer(s) Unidentified,Brooklyn,Brooklyn North
Abuse of Authority,Retaliatory arrest,Full Investigation,Unsubstantiated,Queens,Queens South
Offensive Language,Race,Full Investigation,Unsubstantiated,Queens,Queens South
Force,Physical force,Full Investigation,Unsubstantiated,Queens,Queens South
Discourtesy,Word,Full Investigation,Unsubstantiated,Queens,Queens South
Abuse of Authority,Vehicle search,Full Investigation,Unsubstantiated,Queens,Queens South
Abuse of Authority,Refusal to provide name/shield number,Full Investigation,Unsubstantiated,Queens,Queens South
Discourtesy,Word,Full Investigation,Unsubstantiated,Queens,Queens South
Abuse of Authority,Other,Full Investigation,Unsubstantiated,Queens,Queens South
Abuse of Authority,Refusal to provide name/shield number,Full Investigation,Unsubstantiated,Queens,Queens South
Force,Physical force,Full Investigation,Exonerated,Brooklyn,Brooklyn South
Abuse of Authority,Premises entered and/or searched,Full Investigation,Exonerated,Brooklyn,Brooklyn South
Discourtesy,Word,Full Investigation,Unfounded,Bronx,Bronx
Force,Physical force,Full Investigation,Unfounded,Bronx,Bronx
Abuse of Authority,Threat of force (verbal or physical),Full Investigation,Officer(s) Unidentified,Queens,Queens North
Discourtesy,Word,Full Investigation,Officer(s) Unidentified,Queens,Queens North
Abuse of Authority,Frisk and/or search,Full Investigation,Officer(s) Unidentified,Queens,Queens North
Abuse of Authority,Threat of arrest,Full Investigation,Officer(s) Unidentified,Queens,Queens North
Force,Physical force,Full Investigation,Officer(s) Unidentified,Queens,Queens North
Abuse of Authority,Premise Searched,Full Investigation,Exonerated,Manhattan,Manhattan North
Abuse of Authority,Gun pointed,Full Investigation,Exonerated,Manhattan,Manhattan North
Discourtesy,Word,Full Investigation,Exonerated,Manhattan,Manhattan North
Abuse of Authority,Premise Searched,Full Investigation,Exonerated,Manhattan,Manhattan North
Discourtesy,Word,Full Investigation,Exonerated,Manhattan,Manhattan North
Abuse of Authority,Premise Searched,Full Investigation,Exonerated,Manhattan,Manhattan North
Abuse of Authority,Gun pointed,Full Investigation,Exonerated,Manhattan,Manhattan North
Abuse of Authority,Seizure of property,Full Investigation,Unsubstantiated,Bronx,Bronx
Abuse of Authority,Vehicle search,Full Investigation,Unsubstantiated,Bronx,Bronx
Abuse of Authority,Question and/or stop,Full Investigation,Unsubstantiated,Bronx,Bronx
Abuse of Authority,Question and/or stop,Full Investigation,Unsubstantiated,Bronx,Bronx
Abuse of Authority,Person Searched,Full Investigation,Unsubstantiated,Bronx,Bronx
Abuse of Authority,Person Searched,Full Investigation,Unsubstantiated,Bronx,Bronx
Abuse of Authority,Threat of force (verbal or physical),Full Investigation,Unfounded,Bronx,Bronx
Abuse of Authority,Threat of arrest,Full Investigation,Unfounded,Bronx,Bronx
Abuse of Authority,Threat to damage/seize property,Full Investigation,Unfounded,Bronx,Bronx
Abuse of Authority,Threat of force (verbal or physical),Full Investigation,Officer(s) Unidentified,Staten Island,Staten Island
Abuse of Authority,Strip-searched,Full Investigation,Officer(s) Unidentified,Staten Island,Staten Island
Abuse of Authority,Threat of force (verbal or physical),Full Investigation,Officer(s) Unidentified,Staten Island,Staten Island
Force,Physical force,Full Investigation,Officer(s) Unidentified,Staten Island,Staten Island
Abuse of Authority,Threat of force (verbal or physical),Full Investigation,Unfounded,Manhattan,Manhattan North
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unfounded,Manhattan,Manhattan North
Force,Physical force,Full Investigation,Unfounded,Manhattan,Manhattan North
Abuse of Authority,Premises entered and/or searched,Full Investigation,Unfounded,Manhattan,Manhattan North
Force,Physical force,Full Investigation,Officer(s) Unidentified,Queens,Queens North
Abuse of Authority,Other,Full Investigation,Officer(s) Unidentified,Queens,Queens North
Abuse of Authority,Threat of force (verbal or physical),Full Investigation,Officer(s) Unidentified,Staten Island,Staten Island
Abuse of Authority,Gun pointed,Full Investigation,Officer(s) Unidentified,Staten Island,Staten Island
Abuse of Authority,Threat of force (verbal or physical),Full Investigation,Officer(s) Unidentified,Staten Island,Staten Island
Force,Physical force,Full Investigation,Officer(s) Unidentified,Staten Island,Staten Island
